Type,Employee ID,Full Name,JobTitle,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
Production,E02002,Kai Le,ControlsEngineer,Engineering,Manufacturing,Male,Asian,47,02/05/2022,"$92,368 ",0%,United States,Columbus,
Production,E02003,Robert Patel,Analyst,Sales,Corporate,Male,Asian,58,10/23/2013,"$45,703 ",0%,United States,Chicago,
Production,E02004,Cameron Lo,NetworkAdministrator,IT,Research & Development,Male,Asian,34,3/24/2019,"$83,576 ",0%,China,Shanghai,
Production,E02005,Harper Castillo,ITSystemsArchitect,IT,Corporate,Female,Latino,39,04/07/2018,"$98,062 ",0%,United States,Seattle,
Production,E02006,Harper Dominguez,Director,Engineering,Corporate,Female,Latino,42,6/18/2005,"$175,391 ",24%,United States,Austin,
Production,E02007,Ezra Vu,NetworkAdministrator,IT,Manufacturing,Male,Asian,62,4/22/2004,"$66,227 ",0%,United States,Phoenix,2/14/2014
Production,E02008,Jade Hu,Sr.Analyst,Accounting,Specialty Products,Female,Asian,58,6/27/2009,"$89,744 ",0%,China,Chongqing,
Production,E02009,Miles Chang,AnalystII,Finance,Corporate,Male,Asian,62,2/19/1999,"$69,674 ",0%,China,Chengdu,
Production,E02010,Gianna Holmes,SystemAdministrator,IT,Manufacturing,Female,Caucasian,38,09/09/2011,"$97,630 ",0%,United States,Seattle,
Production,E02011,Jameson Thomas,Manager,Finance,Specialty Products,Male,Caucasian,52,02/05/2015,"$105,879 ",10%,United States,Miami,
Production,E02012,Jameson Pena,SystemsAnalyst,IT,Manufacturing,Male,Latino,49,10/12/2003,"$40,499 ",0%,United States,Miami,
Production,E02013,Bella Wu,Sr.Analyst,Finance,Specialty Products,Female,Asian,63,08/03/2014,"$71,418 ",0%,United States,Phoenix,
Production,E02014,Jose Wong,Director,IT,Manufacturing,Male,Asian,45,11/15/2017,"$150,558 ",23%,China,Chongqing,
Production,E02015,Lucas Richardson,Manager,Marketing,Corporate,Male,Caucasian,36,7/22/2018,"$118,912 ",8%,United States,Miami,
Production,E02016,Jacob Moore,Sr.Manager,Marketing,Corporate,Male,Black,42,3/24/2021,"$131,422 ",15%,United States,Phoenix,
Production,E02017,Luna Lu,ITSystemsArchitect,IT,Corporate,Female,Asian,62,7/26/1997,"$64,208 ",0%,United States,Miami,
Production,E02018,Bella Tran,VicePresident,Engineering,Specialty Products,Female,Asian,45,08/05/2010,"$254,486 ",33%,China,Chengdu,
Production,E02019,Ivy Chau,Analyst,Sales,Specialty Products,Female,Asian,61,03/03/2019,"$54,811 ",0%,China,Chongqing,
Production,E02020,Jordan Kumar,ServiceDeskAnalyst,IT,Specialty Products,Male,Asian,29,11/11/2017,"$95,729 ",0%,United States,Seattle,
Production,E02021,Sophia Gutierrez,Manager,Accounting,Specialty Products,Female,Latino,63,02/08/2009,"$102,649 ",6%,United States,Austin,
Production,E02022,Eli Dang,Sr.Manager,Accounting,Specialty Products,Male,Asian,45,11/16/2015,"$122,875 ",12%,United States,Chicago,
Production,E02023,Lillian Lewis,TechnicalArchitect,IT,Research & Development,Female,Black,43,8/14/2013,"$83,323 ",0%,United States,Phoenix,3/31/2019
Production,E02024,Serenity Cao,AccountRepresentative,Sales,Manufacturing,Female,Asian,31,10/21/2018,"$66,721 ",0%,China,Shanghai,
Production,E02025,Parker Lai,VicePresident,Accounting,Specialty Products,Male,Asian,48,11/29/2006,"$246,400 ",36%,China,Chongqing,
Production,E02026,Charles Simmons,Manager,Sales,Specialty Products,Male,Caucasian,55,10/27/1997,"$113,525 ",6%,United States,Miami,
Production,E02027,Jayden Luu,Director,Accounting,Manufacturing,Male,Asian,64,5/13/2004,"$184,342 ",22%,China,Beijing,
Production,E02028,Brooks Richardson,Director,Marketing,Specialty Products,Male,Caucasian,58,11/24/2020,"$151,341 ",22%,United States,Seattle,
Production,E02029,Ivy Thompson,Manager,Marketing,Manufacturing,Female,Caucasian,50,08/11/2004,"$118,900 ",5%,United States,Seattle,
Production,E02030,Peyton Wright,Sr.Manager,Marketing,Corporate,Female,Black,41,5/13/2017,"$153,370 ",10%,United States,Chicago,
Production,E02031,Wyatt Dinh,SystemAdministrator ,IT,Specialty Products,Male,Asian,50,3/15/2002,"$72,860 ",0%,China,Shanghai,
Production,E02032,Ruby Alexander,VicePresident,Finance,Research & Development,Female,Caucasian,59,8/13/2001,"$255,610 ",36%,United States,Phoenix,
Production,E02033,Axel Oh,Sr.Analyst,Sales,Corporate,Male,Asian,26,10/24/2020,"$84,962 ",0%,China,Chengdu,
Production,E02034,Axel Ramirez,Manager,Human Resources,Specialty Products,Male,Latino,55,12/04/2017,"$103,795 ",7%,United States,Seattle,
Production,E02035,Liliana Chang,ServiceDeskAnalyst,IT,Corporate,Female,Asian,32,01/11/2018,"$97,509 ",0%,China,Shanghai,
Production,E02036,Leonardo Carter,BusinessPartner,Human Resources,Specialty Products,Male,Caucasian,50,09/07/2022,"$54,931 ",0%,United States,Austin,
Production,E02037,Landon Gonzales,TestEngineer,Engineering,Specialty Products,Male,Latino,54,8/30/2009,"$88,689 ",0%,United States,Phoenix,
Production,E02038,Amelia Dominguez,Sr.Manager,Accounting,Corporate,Female,Latino,31,9/23/2015,"$158,184 ",15%,Brazil,Rio de Janeiro,7/27/2018
Production,E02039,Silas Ross,Analyst,Marketing,Research & Development,Male,Caucasian,47,02/10/2016,"$48,523 ",0%,United States,Austin,
Production,E02040,Jeremiah Cheng,Sr.Analyst,Marketing,Specialty Products,Male,Asian,26,02/05/2022,"$70,946 ",0%,China,Shanghai,
Production,E02041,Chloe Chin,Sr.Manager,Finance,Specialty Products,Female,Asian,62,11/13/2021,"$134,487 ",10%,United States,Seattle,
Production,E02042,Ella Martinez,Sr.Analyst,Finance,Research & Development,Female,Latino,35,04/06/2012,"$76,111 ",0%,United States,Chicago,
Production,E02043,Gianna Jones,Manager,Accounting,Research & Development,Female,Caucasian,48,9/26/1998,"$119,220 ",9%,United States,Columbus,11/02/2016
Production,E02044,Austin Chow,VicePresident,Accounting,Manufacturing,Male,Asian,35,04/11/2021,"$180,858 ",32%,China,Chongqing,
Production,E02045,Ella Chen,Manager,Accounting,Specialty Products,Female,Asian,45,11/10/2005,"$114,072 ",8%,United States,Phoenix,
Production,E02046,Ruby Kaur,TestEngineer,Engineering,Research & Development,Female,Asian,26,6/26/2021,"$91,672 ",0%,China,Beijing,
Production,E02047,Savannah Morales,AnalystII,Marketing,Corporate,Female,Latino,48,1/26/2005,"$71,542 ",0%,United States,Chicago,
Production,E02048,Luca Powell,ITCoordinator,IT,Specialty Products,Male,Caucasian,33,12/18/2016,"$54,700 ",0%,United States,Miami,
Production,E02049,Parker Thao,AnalystII,Sales,Corporate,Male,Asian,55,05/08/2011,"$65,022 ",0%,China,Chongqing,
Production,E02050,Ryan Vo,CloudInfrastructureArchitect,IT,Research & Development,Male,Asian,38,04/12/2011,"$65,109 ",0%,United States,Phoenix,
Production,E02051,Isabella Ngo,Manager,Accounting,Specialty Products,Female,Asian,49,01/01/2022,"$126,598 ",9%,United States,Miami,
Production,E02052,Leah Vega,CloudInfrastructureArchitect,IT,Corporate,Female,Latino,52,06/07/2018,"$72,388 ",0%,United States,Miami,
Production,E02053,Jaxson Liu,VicePresident,Finance,Corporate,Male,Asian,27,5/18/2021,"$205,216 ",36%,United States,Chicago,
Production,E02054,Santiago f Ross,EnterpriseArchitect,IT,Specialty Products,Male,Caucasian,34,12/13/2012,"$74,004 ",0%,United States,Columbus,
Production,E02055,Layla Bell,VicePresident,Engineering,Corporate,Female,Caucasian,65,7/26/2001,"$203,030 ",31%,United States,Chicago,
Production,E02056,Bella Morales,Director,Sales,Specialty Products,Female,Latino,38,05/10/2016,"$194,864 ",24%,United States,Austin,
Production,E02057,Eliza Kang,ComputerSystemsManager,IT,Manufacturing,Female,Asian,63,1/27/2002,"$76,659 ",5%,United States,Phoenix,
Production,E02058,Gabriel Reyes,Manager,Sales,Corporate,Male,Latino,42,06/10/2005,"$101,630 ",8%,Brazil,Sao Paulo,
Production,E02059,Piper Garcia,Sr.Manager,Sales,Research & Development,Female,Latino,60,11/24/1993,"$126,929 ",12%,Brazil,Sao Paulo,
